name,rating,country,category,price,abv,age,brand,time_data
Longrow CV Campbeltown Single Malt Whisky,88,Scotland,Campbeltown,61,46,,Longrow,01-01-1995 00:00:00
Knob Creek 9 Year Old Single Barrel Reserve Bourbon Whiskey,88,USA,Bourbon,37,60,9,Knob creek,01-01-1995 00:00:00
Breckenridge Bourbon Whiskey,88,USA,Bourbon,39,43,2,Breckenridge,01-01-1995 00:00:00
Garrison Brothers Texas Straight Bourbon Whiskey,88,USA,Bourbon,75,47,,Garrison Brothers,01-01-1995 00:00:00
Old Forester Signature Kentucky Straight Bourbon Whiskey,88,USA,Bourbon,21,50,,Old Forester,01-01-1995 00:00:00
Balvenie Signature 12 Year Old Single Malt Scotch,88,Scotland,Speyside,53,43,12,Balvenie,01-01-1995 00:00:00
Balvenie 17 Year Old Single Malt Scotch,88,Scotland,Speyside,128,43,17,Balvenie,01-01-1995 00:00:00
Bulleit Bourbon Frontier Whiskey,88,USA,Bourbon,27,45,,Bulleit,01-01-1995 00:00:00
Woodford Reserve Distiller's Select Bourbon,88,USA,Bourbon,34,45,,Woodford Reserve,01-01-1995 00:00:00
Old Forester 12 Year Old Birthday Bourbon Whiskey,88,USA,Bourbon,50,47,12,Old Forester,01-01-1995 00:00:00
Wild Turkey Bourbon Tradition 15 year,88,USA,Bourbon,125,50,15,Wild Turkey,01-01-1995 00:00:00
Aberlour 16 Year Old Single Malt Scotch,89,Scotland,Speyside,65,43,16,Aberlour,01-01-1995 00:00:00
The Singleton of Glendullan 12 Year Old Single Malt Scotch,89,Scotland,Speyside,35,40,12,Glendullan,01-01-1995 00:00:00
Whyte & Mackay Original 40 Year Old Aged Blended Scotch Whisky,89,Scotland,Blended,2,,40,Whyte & Mackay,01-01-1995 00:00:00
Dalmore 1974 Single Highland Malt Scotch Whisky,89,Scotland,Highlands,250,42,,Dalmore,01-01-1995 00:00:00
Chivas Regal 25 Year Old Scotch,89,Scotland,Blended,260,40,25,Chivas Regal,01-01-1995 00:00:00
Jefferson's Select 18 Year Old Bourbon Whiskey,89,USA,Bourbon,90,47,18,Jefferson,01-01-1995 00:00:00
Glenlivet XXV Single Malt Scotch Whisky,89,Scotland,Speyside,305,43,25,Glenlivet,01-01-1995 00:00:00
Jameson Rarest Reserve Whiskey,90,Ireland,Blended,256,46,18,Jameson,01-01-1995 00:00:00
Highland Park 25-Year-Old Orkney Islands Single Malt Whisky,90,Scotland,Islands,240,48.1,25,Highland Park,01-01-1995 00:00:00
Buchanan's Red Seal Blended Scotch,90,Scotland,Blended,140,40,,Buchanan,01-01-1995 00:00:00
Aberlour A'Bunadh Batch 21 Scotch,90,Scotland,Speyside,63,59.5,21,Aberlour,01-01-1995 00:00:00
Glenfiddich 18 Year Old Single Malt Scotch,90,Scotland,Speyside,79,43,18,Glenfiddich,01-01-1995 00:00:00
Macallan 15 Year Old Fine Oak Scotch,90,Scotland,Speyside,70,43,15,Macallan,01-01-1995 00:00:00
Suntory Hakushu 12 Year Old Single Malt Whiskey,90,Japan,Single Malt,45,43,12,Suntory,01-01-1995 00:00:00
Wild Turkey Rare Breed Bourbon,90,USA,Bourbon,37,54.1,,Wild Turkey,01-01-1995 00:00:00
Glenlivet 18 Year Old Single Malt Scotch Whisky,90,Scotland,Speyside,70,43,18,Glenlivet,01-01-1995 00:00:00
Glenfiddich 15 Year Old Single Malt Scotch,90,Scotland,Speyside,55,40,15,Glenfiddich,01-01-1995 00:00:00
Jefferson's Presidential Select,90,USA,Bourbon,90,47,17,Jefferson,01-01-1995 00:00:00
Speyburn 10 Year Old Single Malt Scotch,90,Scotland,Speyside,29,43,10,Speyburn,01-01-1995 00:00:00
Bushmills 16 Year Old Single Malt Irish Whiskey,91,Ireland,Single Malt,64,40,16,Bushmills,01-01-1995 00:00:00
Midleton Very Rare Irish Whiskey,91,Ireland,Blended,132,40,25,Midleton,01-01-1995 00:00:00
Isle of Jura Prophecy Scotch,91,Scotland,Islands,75,46,,Isle of Jura,01-01-1995 00:00:00
Glenrothes 1975 Single Malt Scotch,91,Scotland,Speyside,400,43,31,Glenrothes,01-01-1995 00:00:00
Bushmills 21 Year Old Single Malt Irish Whiskey,91,Ireland,Single Malt,120,40,21,Bushmills,01-01-1995 00:00:00
Amrut Indian Single Malt Whisky Cask Strength,91,India,Single Malt,50,61.8,,Amrut,01-01-1995 00:00:00
Redbreast 15 Year Old Irish Whiskey,92,Ireland,Pure Pot Still,67,46,15,Redbreast,01-01-1995 00:00:00
Old Pulteney 17 Year Old Single Malt Scotch,92,Scotland,Highlands,94,46,17,Old Pulteney,01-01-1995 00:00:00
Forty Creek Confederation Oak Canadian Whiskey,92,Canada,Blended,70,40,,Forty Creek,01-01-1995 00:00:00
Old Pulteney 12 Year Old Single Malt Scotch,92,Scotland,Highlands,40,40,12,Old Pulteney,01-01-1995 00:00:00
Deanston 12 Year Old Single Malt Scotch,92,Scotland,Highlands,47,46.3,12,Deanston,01-01-1995 00:00:00
Glenlivet 15 Year Old Single Malt Scotch,92,Scotland,Speyside,45,40,15,Glenlivet,01-01-1995 00:00:00
