name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
Booker's True Barrel Bourbon|80|USA|Bourbon|60|62|7|Booker's|1995-01-01  00:00:00|67|935a1775-e365-4608-b755-703eda037192|14.36|44.61|72.37
Amrut Peated Indian Single Malt Whiskey Cask Strength|80|India|Single Malt|85|62.8||Amrut|1995-01-01  00:00:00|68|4976d658-4bac-474e-8255-0a0a57b8624a|14.36|44.61|72.37
Basil Hayden's 8 Year Old Bourbon Whiskey|80|USA|Bourbon|36|40|8|Basil Hayden|1995-01-01  00:00:00|69|5b569c96-b090-43f4-b939-c005577aa91d|14.36|44.61|72.37
Four Roses Yellow Label Straight Bourbon|81|USA|Bourbon|20|40||Four Roses|1995-01-01  00:00:00|70|44a2f0cc-6971-4fdd-b5cc-a7dd3070fbb0|14.36|44.61|72.37
Hudson Single Malt Whiskey|81|USA|Single Malt|43|46||Hudson|1995-01-01  00:00:00|71|9f99912f-8b43-40cc-8eed-6f4928f5f9b4|14.36|44.61|72.37
Balblair 1997 Highland Single Malt Scotch Whisky|81|Scotland|Highlands|58|43||Balblair|1995-01-01  00:00:00|72|b331834d-ece6-42a7-b9d2-d5744c2f8e97|14.36|44.61|72.37
Barton Irish Whiskey|81|Ireland|Blended|20|40||Barton|1995-01-01  00:00:00|73|e8e83c80-d4e8-4bfb-b5b9-5cc692c7a9bf|14.36|44.61|72.37
Corsair Pumpkin Spice Moonshine|81|USA|Flavored|35|42.5||Corsair|1995-01-01  00:00:00|74|1c8fc12a-6e21-4f1a-aedf-bcbfb5225d46|14.36|44.61|72.37
Kavalan Solist Ex-Bourbon Single Malt Whisky|81|Taiwan|Single Malt|100|58.2||Kavalan|1995-01-01  00:00:00|75|a86e36e8-81be-4df5-bfda-1acf42d3f547|14.36|44.61|72.37
Mickey Finn Irish Whiskey|81|Ireland|Flavored|25|40||Mickey Finn|1995-01-01  00:00:00|76|40537342-40fb-43eb-828a-5546724994c1|14.36|44.61|72.37
P & M Blended Whisky|81|France|Blended|40|40||P & M|1995-01-01  00:00:00|77|687c44cb-b01f-4b84-9467-d7991be56120|14.36|44.61|72.37
